Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
API Login,20,972,16,2494,"981,18","0,000%","5,74218","8,97","0,93","1600,0"
API User Page,20,73,19,342,"75,35","0,000%","16,27339","30,78","2,02","1937,0"
API Register,20,302,18,740,"256,48","0,000%","17,24138","27,07","2,07","1608,0"
TOTAL,60,449,16,2494,"700,17","0,000%","16,16815","27,08","2,18","1715,0"
