Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
API Login,20,972,369,2444,2462,2494,16,2494,"0,000%","5,74218","8,97","0,93"
API User Page,20,73,50,111,204,342,19,342,"0,000%","16,27339","30,78","2,02"
API Register,20,302,207,552,559,740,18,740,"0,000%","17,24138","27,07","2,07"
TOTAL,60,449,64,1628,2264,2462,16,2494,"0,000%","16,16815","27,08","2,18"
